county, angles
Baldwin County,"[[153, 208], [210, 210]]"
Mobile County,"[[161, 161], [165, 172], [174, 174], [176, 190], [192, 198]]"
Alameda County,"[[281, 289]]"
Contra Costa County,[]
Del Norte County,"[[210, 314]]"
Humboldt County,"[[194, 341]]"
Los Angeles County,"[[167, 219], [234, 234], [239, 252]]"
Marin County,"[[171, 308]]"
Mendocino County,"[[190, 317]]"
Monterey County,"[[190, 284]]"
Orange County,[]
San Diego County,"[[233, 236], [243, 246], [253, 253], [280, 280]]"
San Francisco County,"[[173, 305]]"
San Luis Obispo County,"[[209, 298]]"
San Mateo County,"[[203, 315]]"
Santa Barbara County,"[[144, 156], [168, 263], [265, 311]]"
Santa Clara County,[]
Santa Cruz County,[]
Solano County,[]
Sonoma County,"[[206, 295]]"
Ventura County,"[[164, 171], [180, 221], [262, 266], [269, 269]]"
Fairfield County,[]
Middlesex County,[]
New Haven County,[]
New London County,[]
Kent County,[]
New Castle County,[]
Sussex County,"[[61, 129]]"
Bay County,"[[163, 237], [239, 247]]"
Brevard County,"[[1, 110]]"
Broward County,[]
Charlotte County,"[[249, 250], [253, 278]]"
Citrus County,"[[237, 287]]"
Collier County,"[[214, 221], [226, 293]]"
Dixie County,"[[185, 269]]"
Duval County,"[[51, 106]]"
Escambia County,"[[160, 188]]"
Flagler County,"[[24, 103]]"
Franklin County,"[[144, 247]]"
Gulf County,"[[177, 254]]"
Hernando County,"[[244, 292]]"
Hillsborough County,[]
Indian River County,"[[29, 95]]"
Jefferson County,"[[194, 200], [202, 205]]"
Lee County,"[[199, 202], [208, 302]]"
Levy County,"[[188, 269]]"
Manatee County,"[[252, 285]]"
Martin County,"[[48, 76]]"
Miami-Dade County,[]
Monroe County,"[[246, 254], [259, 327]]"
Nassau County,"[[73, 105]]"
Okaloosa County,"[[152, 210]]"
Palm Beach County,"[[44, 63]]"
Pasco County,"[[250, 297]]"
Pinellas County,"[[195, 307]]"
St. Johns County,"[[30, 134]]"
St. Lucie County,"[[33, 86]]"
Santa Rosa County,"[[142, 142], [148, 165], [198, 198], [200, 200]]"
Sarasota County,"[[193, 305]]"
Taylor County,"[[165, 249]]"
Volusia County,"[[13, 120]]"
Wakulla County,"[[152, 162]]"
Walton County,"[[157, 216]]"
Bryan County,[]
Camden County,"[[63, 68], [75, 140]]"
Chatham County,"[[77, 171]]"
Glynn County,"[[72, 144]]"
Liberty County,"[[110, 130]]"
McIntosh County,"[[71, 141]]"
Cameron Parish,"[[121, 136], [138, 239]]"
Iberia Parish,"[[145, 148]]"
Jefferson Parish,"[[161, 165]]"
Lafourche Parish,"[[142, 174]]"
Orleans Parish,[]
Plaquemines Parish,"[[81, 98], [100, 150], [156, 240]]"
St. Bernard Parish,"[[94, 123], [132, 134]]"
St. Mary Parish,"[[163, 180], [182, 203]]"
St. Tammany Parish,[]
Terrebonne Parish,"[[128, 154], [156, 160], [162, 188], [190, 236], [238, 246], [248, 266]]"
Vermilion Parish,"[[145, 148], [150, 230]]"
Cumberland County,"[[114, 168]]"
Hancock County,"[[129, 189]]"
Knox County,"[[110, 195]]"
Lincoln County,"[[145, 186]]"
Sagadahoc County,"[[141, 180]]"
Waldo County,[]
Washington County,"[[159, 198]]"
York County,"[[93, 158]]"
Anne Arundel County,[]
Baltimore County,[]
Calvert County,[]
Cecil County,[]
Charles County,[]
Dorchester County,[]
Harford County,[]
Kent County,[]
Queen Anne's County,[]
St. Mary's County,[]
Somerset County,[]
Talbot County,[]
Wicomico County,[]
Worcester County,"[[41, 175]]"
Baltimore city,[]
Barnstable County,"[[37, 37], [44, 50], [65, 178], [181, 192]]"
Bristol County,"[[174, 184]]"
Dukes County,"[[78, 234]]"
Essex County,"[[79, 130]]"
Nantucket County,"[[29, 51], [56, 242]]"
Norfolk County,[]
Plymouth County,"[[44, 44], [48, 68]]"
Suffolk County,"[[62, 100]]"
Hancock County,[]
Harrison County,"[[129, 144]]"
Jackson County,"[[145, 191]]"
Rockingham County,"[[82, 112]]"
Atlantic County,"[[88, 160]]"
Cape May County,"[[56, 187]]"
Cumberland County,[]
Essex County,[]
Hudson County,"[[123, 150]]"
Middlesex County,[]
Monmouth County,"[[70, 147]]"
Ocean County,"[[63, 182]]"
Salem County,[]
Union County,"[[106, 120]]"
Bronx County,"[[163, 184]]"
Kings County,"[[123, 171]]"
Nassau County,"[[135, 200]]"
New York County,[]
Queens County,[]
Richmond County,[]
Suffolk County,"[[82, 82], [95, 214]]"
Westchester County,"[[181, 188]]"
Beaufort County,[]
Bertie County,[]
Brunswick County,[]
Camden County,[]
Carteret County,"[[69, 181], [183, 187], [189, 227]]"
Chowan County,[]
Craven County,[]
Currituck County,[]
