county, angles
Baldwin County,"[[153, 208], [210, 210]]"
Mobile County,"[[161, 161], [165, 172], [174, 174], [176, 190], [192, 198]]"
Alameda County,"[[281, 289]]"
Contra Costa County,[]
Del Norte County,"[[210, 314]]"
Humboldt County,"[[194, 341]]"
Los Angeles County,"[[167, 219], [234, 234], [239, 252]]"
Marin County,"[[171, 308]]"
Mendocino County,"[[190, 317]]"
Monterey County,"[[190, 284]]"
Orange County,[]
San Diego County,"[[233, 236], [243, 246], [253, 253], [280, 280]]"
San Francisco County,"[[173, 305]]"
San Luis Obispo County,"[[209, 298]]"
San Mateo County,"[[203, 315]]"
Santa Barbara County,"[[144, 156], [168, 263], [265, 311]]"
Santa Clara County,[]
Santa Cruz County,[]
Solano County,[]
Sonoma County,"[[206, 295]]"
Ventura County,"[[164, 171], [180, 221], [262, 266], [269, 269]]"
Fairfield County,[]
Middlesex County,[]
New Haven County,[]
New London County,[]
Kent County,[]
New Castle County,[]
Sussex County,"[[61, 129]]"
Bay County,"[[163, 237], [239, 247]]"
Brevard County,"[[1, 110]]"
Broward County,[]
Charlotte County,"[[249, 250], [253, 278]]"
Citrus County,"[[237, 287]]"
Collier County,"[[214, 221], [226, 293]]"
