,C_t,C_o,C_r
0,0.4192297803145545,0.9987502305708531,0.05396383866481224
1,0.31982350488373873,0.9987103937022908,0.04478442280945758
2,0.455033715570118,0.9987809319169256,0.078442280945758
3,0.8950618461070845,0.9991189462490507,0.06648122392211404
4,0.6486506311516144,0.9987349547791488,0.20250347705146035
5,0.21894159134875144,0.9985395145029311,0.04283727399165508
6,0.31988163939014314,0.998566022494418,0.10598052851182198
7,0.26475079024894504,0.9985573362599194,0.05897079276773296
8,0.6739982047935308,0.9987812314422531,1.0
9,0.45291423361227784,0.9985790518461658,0.04422809457579972
10,0.4028960373627153,0.9985848925900528,0.04172461752433936
11,0.6585865522376299,0.9987012581798009,0.05952712100139082
12,0.678716154768119,0.9987044031957399,0.06008344923504868
13,0.7167229013002615,0.9987348050164848,0.03031988873435327
14,0.4491474404784991,0.9985832452007514,0.03393602225312935
15,0.2427603098067271,0.9986278744745544,0.12795549374130738
16,0.7669817987099485,0.9988484748782851,0.010013908205841447
17,0.46149869514922937,0.9985501476520586,0.17913769123783033
18,0.5538693295947807,0.9986865814387516,0.1070931849791377
19,0.5690165478795347,0.9986489910101457,0.21641168289290683
20,0.5761740628447413,0.9987810816795893,0.02920723226703755
21,0.5044915717519122,0.9985386159269484,0.02141863699582754
22,0.5349984327732558,0.9985467031107919,0.02475660639777469
23,0.3995228181848028,0.998490392349215,0.015299026425591099
24,0.22046529117908922,0.9985136055620991,0.02420027816411683
25,0.4956620626919952,0.9985553893452904,0.03421418636995827
26,0.24945543119412533,0.9985282823031484,0.009457579972183588
27,0.5360433282950343,0.998530528743105,0.037552155771905425
28,0.24398003806879218,0.9985177989166847,0.02670375521557719
29,0.51625204638194,0.998673252561676,0.0458970792767733
30,0.3703349092418764,0.9985399637909222,0.051738525730180805
31,0.3604399853451928,0.9985595826998759,0.033657858136300414
32,0.39120748790866416,0.998741244811027,0.04200278164116829
33,0.5264285390378962,0.9989521106416129,0.034492350486787206
34,0.5109195917439421,0.9989128728237054,0.5204450625869262
35,0.6709532381306534,0.9991608797949059,0.13073713490959665
36,0.8616269941901075,0.9999065480978085,0.23310152990264255
37,0.6842169670022209,0.9992413023453496,0.1894297635605007
38,0.722067980392653,0.9994825699966803,0.10041724617524339
39,0.3886747159616301,0.9987223747153922,0.0717663421418637
40,0.18245707635844835,0.9987232732913748,0.0
41,0.3769394115411535,0.9987214761394096,0.13936022253129346
42,0.6196592568628535,0.9987443898269661,0.1924895688456189
43,0.6448365743520443,0.9988137299402909,0.3713490959666203
44,0.6420573216462399,0.9988486246409488,0.22892906815020864
45,0.76279219886088,0.9987532258241284,0.2984700973574409
46,0.5042198464679482,0.9986636677511949,0.5146036161335188
47,0.5896604578917436,0.9987512789094993,0.06898470097357441
48,0.34000716085110994,0.9985198955939772,0.18136300417246176
49,0.5836910235544241,0.9987905167274068,0.2592489568845619
50,0.7474011598322421,0.9987818304929081,0.4141863699582754
51,0.2653891739339007,0.9986820885588384,0.24478442280945759
52,0.2376135804341043,0.9985486500254209,0.09513212795549374
53,0.08712319511506335,0.9985293306417947,0.16550764951321278
54,0.3946156938617866,0.9985642253424528,0.09429763560500695
55,0.30426010151198885,0.9986428507409312,0.01474269819193324
56,0.5019192962127937,0.9985405628415773,0.18497913769123783
57,0.37723568366147253,0.998696016486569,0.20027816411682892
58,0.2667392620510378,0.9985657229690905,0.06815020862308763
59,0.18068729717838714,0.9985339732843715,0.21668984700973573
60,0.3154128560481365,0.9986720544603661,0.4575799721835883
61,0.36159733469349487,0.9986401550129833,0.02920723226703755
62,0.38623608039340823,0.9986004679070847,0.12461752433936023
63,0.5691841904564167,0.9986447976555601,0.06898470097357441
64,0.6495425354894783,0.9986771463909341,0.07732962447844229
65,0.48536544466558457,0.9986340147437689,0.05201668984700974
66,0.561309826684549,0.9986115503442036,0.04812239221140473
67,0.6855566407304213,0.9986967652998878,0.1349095966620306
68,0.681482108459821,0.9987372012191053,0.017246175243393603
69,0.35679705081492974,0.9985881873686557,0.04089012517385257
70,0.8311215802556899,0.9987180315981429,0.01808066759388039
71,0.8457996532707998,0.9987789850022966,0.061752433936022255
72,0.606580999730432,0.9988619535180242,0.10737134909596661
73,0.373109769060145,0.9985425097562064,0.061752433936022255
74,0.6525376835825419,0.9988002513005517,0.23894297635605008
75,0.7425159594382696,0.9994172734752773,0.013073713490959666
76,0.5727872448837381,0.9985789020835021,0.04144645340751043
77,0.5938801806720457,0.9985586841238933,0.03282336578581363
78,0.34353732124469716,0.9985720130009688,0.022253129346314324
79,0.23836714536724077,0.9985200453566412,0.025034770514603615
80,0.5218462582757113,0.9985979219418007,0.1627260083449235
81,0.6942247945067985,0.9988718378538329,0.036717663421418634
82,0.42212473647448323,0.9986997605531632,0.0005563282336578582
83,0.7789053326650979,0.9985610803265136,0.03866481223922114
84,0.647595897459808,0.9986227825439863,0.043671766342141864
85,0.21687825893860127,0.9985028226503078,0.04422809457579972
86,0.4579567814486479,0.9986099029549022,0.13129346314325452
87,0.44274632411856873,0.9987171330221603,0.057301808066759385
88,0.36018404270596677,0.9985176491540207,0.12044506258692629
89,0.37986958902394624,0.9986045114990064,0.08984700973574408
90,0.3415730107776302,0.9987936617433459,0.01196105702364395
91,0.6175810055167208,0.9988294550199865,0.04144645340751043
92,0.3585238065218942,0.9985799504221485,0.023087621696801112
93,0.5405499842234428,0.9986554308046877,0.08650904033379694
94,0.43412118902610375,0.9986722042230298,0.07343532684283727
95,0.6632845811097172,0.9986781947295805,0.09791376912378304
96,0.8522298986309882,0.9989793674464187,0.02670375521557719
97,0.45632347794378475,0.9985657229690905,0.1407510431154381
98,0.5413600091453575,0.9985997190937659,0.07315716272600835
99,0.6476982350805188,0.9987363026431225,0.082336578581363
100,0.4694227163729886,0.9985889361819746,0.05090403337969402
101,0.4866783759690501,0.9986181399014095,0.06369958275382476
102,0.6791379972276201,0.9985883371313196,0.06369958275382476
103,0.7072049004694174,0.9986880790653893,0.06815020862308763
104,0.2644888759442363,0.9985267846765108,0.018636995827538246
105,0.3442183049292069,0.9985693172730208,0.16634214186369958
106,0.32127485883545187,0.0,0.011126564673157162
107,0.8794860974465614,0.998828556444004,0.06425591098748261
108,0.6148475235660873,0.9989236557354969,0.02698191933240612
109,0.7089596097883321,0.9987596656186706,0.08261474269819194
110,0.4606998925897305,0.9987737433090647,0.02141863699582754
111,0.5398315005160974,0.9987544239254387,0.056189151599443675
112,0.36042538665234847,0.9985450557214904,0.0584144645340751
113,0.5035618658786111,0.998629971151847,0.0776077885952712
114,0.5208990170606391,0.99863446403176,0.10292072322670376
115,0.365430893792707,0.9985628774784789,0.05897079276773296
116,0.6816952512477803,0.9986570781939892,0.2180806675938804
117,0.5902470569569622,0.9987918645913807,0.060917941585535464
118,0.7681879529004443,0.9998542809281533,0.06926286509040334
119,0.5714507481593168,0.9991324248887898,0.17635605006954103
120,0.4996825703935477,0.9987996522498966,0.28956884561891516
121,0.3821510488765837,0.9985603315131947,0.08678720445062586
122,0.29178059763097863,0.998582196862105,0.054242002781641166
123,0.7251658364674596,0.9989929958488215,0.03171070931849791
124,0.5622650012482343,0.9988619535180242,0.00611961057023644
125,0.580666704440902,0.9986760980522877,0.13824756606397776
126,0.0,0.9985242387112266,0.12406119610570236
127,0.048096129229789945,0.998576356118218,0.0776077885952712
128,0.09869945720412007,0.998517499391357,0.051182197496522946
129,0.5575373219400722,0.9986775956789254,0.1702364394993046
130,0.5166331929319596,0.9987779366636502,0.02642559109874826
131,0.7118094359291243,0.9992559790863987,0.29318497913769126
132,0.641649024777475,0.9986134972588325,0.04506258692628651
133,0.3680121846245104,0.9985109098341511,0.04645340751043116
134,0.6054713019147149,0.9986018157710587,0.06453407510431154
135,0.6573104792714348,0.9986208356293572,0.023365785813630042
136,0.3213730523594153,0.9984923392638441,0.04089012517385257
137,0.7328325861552345,0.9987497812828617,0.020305980528511822
138,0.4718694787726833,0.9986108015308848,0.03310152990264256
139,0.30121469789105354,0.9985642253424528,0.023365785813630042
140,0.6468009137030449,0.9992233308256974,0.2191933240611961
141,0.389619271141065,0.9986967652998878,0.08428372739916551
142,0.7660814991747911,0.9992694577261378,0.09068150208623088
143,0.33367131408646294,0.998843981998372,0.03894297635605007
144,0.6178404924325518,0.9986704070710645,0.15744089012517384
145,0.40305452618319015,0.9985925304859049,0.07482614742698192
146,0.8142654692169413,0.9986482421968269,0.13045897079276772
147,0.41638737320137803,0.9988459289130011,0.020027816411682893
148,0.6955410905523334,0.998819420921514,0.4381084840055633
149,0.11837250307182985,0.9985419107055513,0.17246175243393602
150,0.4893280236269853,0.9985871390300093,0.03477051460361613
151,0.40941444423840995,0.9986331161677863,0.06063977746870654
152,0.720200780316948,0.9985374178256383,0.07649513212795549
153,0.569464467757249,0.9985029724129716,0.04812239221140473
154,0.28929607392545154,0.9985294804044584,0.0890125173852573
155,0.3778143204372459,0.9985435580948527,0.03699582753824757
156,0.5863288964739866,0.9985724622889601,0.05674547983310153
157,0.4365667587117872,0.9985868395046819,0.006397774687065368
158,0.4311486195189684,0.9985320263697427,0.03031988873435327
159,0.7419503181338145,0.9988155270922561,0.15299026425591097
160,0.23494695217033118,0.9987277661712878,0.006954102920723227
161,0.3032079323256504,0.9986266763732442,0.021696801112656466
162,0.3510104928613681,0.9985943276378703,0.18887343532684284
163,0.6280942383583941,0.9987466362669226,0.04144645340751043
164,0.6955955781222631,0.9987948598446561,0.03977746870653686
165,0.561906299309992,0.9985645248677804,0.035048678720445064
166,0.48538498693105087,0.9986310194904935,0.02948539638386648
167,0.5064185352475449,0.9985452054841542,0.24089012517385258
168,0.4541454803783918,0.9986981131638616,0.08762169680111266
169,0.6359330996829933,0.9988192711588503,0.008066759388038943
170,0.45625585001321217,0.9987673035145227,0.006397774687065368
171,0.7625698163254979,0.9987274666459603,0.021696801112656466
172,0.6897974617675975,0.9986286232878733,0.03894297635605007
173,0.6678804425164149,0.9986587255832906,0.01474269819193324
174,0.7849771148532474,0.9989094282824389,0.07649513212795549
175,0.5731203587365615,0.9988504217929142,0.18609179415855354
176,0.4387556096792155,0.9987777869009865,0.007510431154381085
177,0.40918502451028965,0.9985302292177773,0.03031988873435327
178,0.30841303048479896,0.9985052188529281,0.005006954102920723
179,0.399038403215949,0.9985413116548962,0.0545201668984701
180,0.4670079458565108,0.9985257363378642,0.017246175243393603
181,0.4520317358761209,0.998516151527383,0.03337969401947149
182,0.5019777109631035,0.9985613798518412,0.020305980528511822
183,0.4254163948848788,0.9985973228911457,0.06008344923504868
184,0.4991745720101515,0.9985142046127542,0.011126564673157162
185,0.26995755237069835,0.9985218425086063,0.01808066759388039
186,0.4520538876665688,0.9986549815166964,0.04033379694019471
187,0.6648489222288796,0.9986188887147283,0.006954102920723227
188,0.7987389535393926,0.9988604558913865,0.11237830319888735
189,0.4770242160163771,0.9986611217859109,0.21196105702364396
190,0.5867251944070516,0.9987327083391923,0.11738525730180807
191,0.6022273250690126,0.9987291140352618,0.028094575799721837
192,0.1848576926664873,0.9985443069081715,0.09457579972183588
193,0.37974470402959115,0.9985823466247687,0.016968011126564674
194,0.5712313889388675,0.998589984520621,0.0497913769123783
195,0.5928176049805858,0.9986958667239051,0.08344923504867872
196,0.8049042501174672,0.9990016820833202,0.1129346314325452
197,1.0,1.0,0.007510431154381085
198,0.36858584265769767,0.9986491407728094,0.02420027816411683
199,0.7395728270763952,0.9987989034365777,0.21084840055632822
200,0.533125982339049,0.9986834364228124,0.270653685674548
201,0.3378067292285454,0.9985666215450731,0.26036161335187763
202,0.5140834170843385,0.9989271002767635,0.16050069541029208
203,0.60182294880565,0.9985997190937659,0.2114047287899861
204,0.3594913968860175,0.9985405628415773,0.1502086230876217
205,0.5534796468102108,0.998549848126731,0.04700973574408901
206,0.2990986227569557,0.9985774044568644,0.03727399165507649
207,0.5315696940343195,0.9985787523208383,0.04450625869262865
208,0.3150132692283999,0.9985793513714935,0.12934631432545202
209,0.3531316435384492,0.9984647829337107,0.061752433936022255
210,0.6529772099263472,0.9986182896640732,0.008623087621696801
211,0.4863735713957083,0.9986633682258674,0.1357440890125174
212,0.05735640088846376,0.9984866482826208,0.04700973574408901
213,0.4981258249945925,0.9985792016088296,0.09401947148817802
214,0.7490438818310753,0.9989035875385519,0.08984700973574408
215,0.36690156045937605,0.9988836691042706,0.057858136300417244
216,0.22494055664475504,0.9986735520870037,0.012517385257301807
217,0.747934998231639,0.9989044861145345,0.032545201668984704
218,0.6373222172236327,0.9991223907903174,0.03727399165507649
219,0.39224114554020073,0.9986973643505428,0.08150208623087622
220,0.7100045066189385,0.9986783444922442,0.17830319888734353
221,0.6056148015155741,0.9986415028769573,0.040055632823365786
222,0.40938422084370263,0.9987749414103748,0.03616133518776078
223,0.38307658735420297,0.998670107545737,0.0239221140472879
224,0.2512468735482493,0.9985570367345918,0.021696801112656466
225,0.41549439594382265,0.9985768054062093,0.03421418636995827
226,0.4972473268696351,0.9986406043009747,0.07093184979137691
227,0.5082974107976412,0.9985854916407079,0.054798331015299025
228,0.5223508259725776,0.9986648658525051,0.1991655076495132
